"ENTITY","PATHWAY"
"C00187","WP1"
"C00695","WP1"
"C00024","WP1"
"C01054","WP103"
"C01189","WP103"
"C01724","WP103"
"C01164","WP103"
"C00129","WP103"
"C00353","WP103"
"C00187","WP103"
"C00751","WP103"
"C00024","WP103"
"C00235","WP103"
"C05172","WP108"
"C01528","WP108"
"C00054","WP1241"
"C00080","WP1241"
"C00668","WP1241"
"C00015","WP1241"
"C00003","WP1241"
"C00001","WP1241"
"C00002","WP1241"
"C00004","WP1241"
"C00029","WP1241"
"C00009","WP1241"
"C00103","WP1241"
"C00167","WP1241"
"C00075","WP1241"
"C00031","WP1241"
"C00951","WP1244"
"C00575","WP1244"
"C10443","WP1245"
"C00575","WP1246"
"C00076","WP1246"
"C00217","WP1246"
"C00009","WP1247"
"C00021","WP1247"
"C00019","WP1247"
"C00002","WP1247"
"C00073","WP1247"
"C00003","WP1248"
"C00004","WP1248"
"C00008","WP1248"
"C00002","WP1248"
"C00282","WP1248"
"C14774","WP1250"
"C14771","WP1250"
"C14772","WP1250"
"C14769","WP1250"
"C14768","WP1250"
"C14773","WP1250"
"C14775","WP1250"
"C00219","WP1250"
"C01586","WP1252"
"C00010","WP1252"
"C00009","WP1252"
"C00024","WP1252"
"C00037","WP1252"
"C00002","WP1252"
"C00180","WP1252"
"C00512","WP1252"
"C00020","WP1252"
"C15981","WP1259"
"C06098","WP1259"
"C08601","WP1259"
"C05432","WP1259"
"C05443","WP1259"
"C08614","WP1259"
"C08583","WP1259"
"C08580","WP1259"
"C05433","WP1259"
"C11278","WP1262"
"C06800","WP1262"
"C19586","WP1262"
"C16756","WP1262"
"C19585","WP1262"
"C00942","WP1263"
"C00575","WP1263"
"C00076","WP1263"
"C05298","WP1264"
"C00468","WP1264"
"C05301","WP1264"
"C02538","WP1264"
"C00007","WP1264"
"C00951","WP1264"
"C05300","WP1264"
"C05503","WP1264"
"C00704","WP1264"
"C05302","WP1264"
"C11133","WP1264"
"C05299","WP1264"
"C00794","WP1265"
"C00031","WP1265"
"C02336","WP1265"
"C00111","WP1265"
"C02154","WP1265"
"C01094","WP1265"
"C00661","WP1265"
"C00780","WP1266"
"C00078","WP1266"
"C00745","WP1266"
"C01017","WP1266"
"C00024","WP1269"
"C00527","WP1269"
"C00661","WP1269"
"C00116","WP1269"
"C02050","WP1269"
"C00111","WP1269"
"C01832","WP1269"
"C00040","WP1269"
"C00332","WP1269"
"C00007","WP1270"
"C00575","WP1270"
"C06427","WP1272"
"C05963","WP1272"
"C00006","WP1272"
"C00005","WP1272"
"C00051","WP1272"
"C00366","WP1272"
"C02166","WP1272"
"C00255","WP1272"
"C06462","WP1272"
"C00909","WP1272"
"C00504","WP1272"
"C05776","WP1272"
"C05951","WP1272"
"C02198","WP1272"
"C05952","WP1272"
"C13809","WP1272"
"C00696","WP1272"
"C02165","WP1272"
"C00725","WP1272"
"C00073","WP1272"
"C00219","WP1272"
"C00072","WP1272"
"C00001","WP1272"
"C00385","WP1272"
"C02477","WP1272"
"C01595","WP1272"
"C00584","WP1272"
"C01312","WP1272"
"C06428","WP1272"
"C00018","WP1272"
"C00427","WP1272"
"C14818","WP1272"
"C00155","WP1272"
"C00038","WP1272"
"C00639","WP1272"
"C00007","WP1272"
"C00032","WP1272"
"C19610","WP1272"
"C00078","WP1272"
"C04805","WP1272"
"C01529","WP1272"
"C05356","WP1272"
"C00262","WP1272"
"C06315","WP1272"
"C00027","WP1272"
"C06429","WP1272"
"C06314","WP1272"
"C05956","WP1272"
"C00016","WP1272"
"C00097","WP1272"
"C00153","WP1272"
"C00070","WP1272"
"C06439","WP1272"
"C00038","WP1273"
"C02823","WP1273"
"C00025","WP1273"
"C00725","WP1273"
"C00155","WP1273"
"C05776","WP1273"
"C06429","WP1273"
"C00366","WP1273"
"C00037","WP1273"
"C00078","WP1273"
"C02165","WP1273"
"C05952","WP1273"
"C02477","WP1273"
"C00018","WP1273"
"C00021","WP1273"
"C05956","WP1273"
"C00153","WP1273"
"C00051","WP1273"
"C00070","WP1273"
"C04805","WP1273"
"C06314","WP1273"
"C06104","WP1273"
"C00019","WP1273"
"C00076","WP1273"
"C02166","WP1273"
"C19610","WP1273"
"C01595","WP1273"
"C00114","WP1273"
"C00072","WP1273"
"C00073","WP1273"
"C02170","WP1273"
"C02198","WP1273"
"C01312","WP1273"
"C00909","WP1273"
"C00005","WP1273"
"C14818","WP1273"
"C05963","WP1273"
"C05951","WP1273"
"C00097","WP1273"
"C00318","WP1273"
"C01529","WP1273"
"C00219","WP1273"
"C05356","WP1273"
"C00255","WP1273"
"C00719","WP1273"
"C00006","WP1273"
"C00007","WP1273"
"C13809","WP1273"
"C02918","WP1273"
"C00001","WP1273"
"C00440","WP1273"
"C00189","WP1273"
"C06439","WP1273"
"C06427","WP1273"
"C00504","WP1273"
"C00032","WP1273"
"C00065","WP1273"
"C00639","WP1273"
"C00385","WP1273"
"C06428","WP1273"
"C00109","WP1273"
"C00027","WP1273"
"C00262","WP1273"
"C06315","WP1273"
"C00696","WP1273"
"C00427","WP1273"
"C02291","WP1273"
"C00127","WP1273"
"C00005","WP1274"
"C00007","WP1274"
"C14819","WP1274"
"C00001","WP1274"
"C00006","WP1274"
"C14818","WP1274"
"C00004","WP1274"
"C00003","WP1274"
"C00777","WP1498"
"C00008","WP150"
"C00460","WP150"
"C00286","WP150"
"C00458","WP150"
"C00131","WP150"
"C00076","WP1560"
"C00942","WP1560"
"C01245","WP1560"
"C00711","WP157"
"C00236","WP157"
"C00022","WP157"
"C00031","WP157"
"C00085","WP157"
"C00036","WP157"
"C00074","WP157"
"C00597","WP157"
"C00024","WP157"
"C00111","WP157"
"C00049","WP157"
"C00354","WP157"
"C00668","WP157"
"C00661","WP157"
"C14818","WP1596"
"C00669","WP164"
"C00097","WP164"
"C01419","WP164"
"C00037","WP164"
"C01879","WP164"
"C00025","WP164"
"C00005","WP164"
"C03740","WP164"
"C02595","WP164"
"C00151","WP164"
"C03646","WP164"
"C05726","WP164"
"C00006","WP164"
"C00051","WP164"
"C05729","WP164"
"C00024","WP164"
"C02320","WP164"
"C00127","WP164"
"C00307","WP175"
"C00588","WP175"
"C01996","WP175"
"C00114","WP175"
"C00670","WP175"
"C00157","WP175"
"C00022","WP175"
"C00024","WP175"
"C00033","WP175"
"C00021","WP1770"
"C00073","WP1770"
"C00606","WP1770"
"C00097","WP1770"
"C00006","WP1770"
"C00519","WP1770"
"C00051","WP1770"
"C00101","WP1770"
"C00588","WP1770"
"C00189","WP1770"
"C05122","WP1770"
"C00127","WP1770"
"C00445","WP1770"
"C05465","WP1770"
"C00217","WP1770"
"C00307","WP1770"
"C00346","WP1770"
"C00350","WP1770"
"C01026","WP1770"
"C00719","WP1770"
"C00157","WP1770"
"C00065","WP1770"
"C00245","WP1770"
"C00005","WP1770"
"C00213","WP1770"
"C00570","WP1770"
"C03204","WP1770"
"C01879","WP1770"
"C00440","WP1770"
"C02291","WP1770"
"C00504","WP1770"
"C00019","WP1770"
"C05330","WP1770"
"C00037","WP1770"
"C00114","WP1770"
"C00669","WP1770"
"C02356","WP1770"
"C00189","WP1771"
"C00019","WP1771"
"C00013","WP1771"
"C00588","WP1771"
"C02737","WP1771"
"C00350","WP1771"
"C00021","WP1771"
"C00055","WP1771"
"C00131","WP1771"
"C00157","WP1771"
"C00065","WP1771"
"C00008","WP1771"
"C00307","WP1771"
"C00114","WP1771"
"C00346","WP1771"
"C00570","WP1771"
"C00458","WP1771"
"C00007","WP18"
"C00931","WP18"
"C00014","WP18"
"C00027","WP18"
"C00010","WP18"
"C01051","WP18"
"C00011","WP18"
"C00001","WP18"
"C03263","WP18"
"C01024","WP18"
"C00032","WP18"
"C02191","WP18"
"C00388","WP189"
"C01598","WP189"
"C00780","WP189"
"C00626","WP1983"
"C00001","WP200"
"C00212","WP207"
"C00147","WP207"
"C00533","WP2075"
"C14818","WP2075"
"C00027","WP2075"
"C01245","WP2075"
"C00070","WP2075"
"C00076","WP2075"
"C16845","WP2075"
"C00780","WP2079"
"C01330","WP2083"
"C03758","WP2083"
"C00082","WP2083"
"C00002","WP2083"
"C00076","WP2083"
"C00238","WP2083"
"C00355","WP2083"
"C00745","WP2083"
"C00575","WP2083"
"C00780","WP2140"
"C07464","WP2141"
"C00076","WP2141"
"C03205","WP2141"
"C05512","WP2185"
"C00059","WP2185"
"C00360","WP2185"
"C04494","WP2185"
"C00603","WP2185"
"C04051","WP2185"
"C00119","WP2185"
"C00131","WP2185"
"C01228","WP2185"
"C00387","WP2185"
"C00064","WP2185"
"C00242","WP2185"
"C01344","WP2185"
"C00081","WP2185"
"C00053","WP2185"
"C00301","WP2185"
"C00147","WP2185"
"C00144","WP2185"
"C04751","WP2185"
"C01762","WP2185"
"C04734","WP2185"
"C00044","WP2185"
"C00559","WP2185"
"C00655","WP2185"
"C03838","WP2185"
"C04677","WP2185"
"C00206","WP2185"
"C00700","WP2185"
"C00035","WP2185"
"C00130","WP2185"
"C00224","WP2185"
"C00046","WP2185"
"C00366","WP2185"
"C04640","WP2185"
"C00104","WP2185"
"C00002","WP2185"
"C03090","WP2185"
"C02350","WP2185"
"C00361","WP2185"
"C00039","WP2185"
"C06196","WP2185"
"C00330","WP2185"
"C00575","WP2185"
"C00117","WP2185"
"C00499","WP2185"
"C00385","WP2185"
"C00086","WP2185"
"C00942","WP2185"
"C03373","WP2185"
"C00294","WP2185"
"C00262","WP2185"
"C01260","WP2185"
"C00014","WP2185"
"C00286","WP2185"
"C01261","WP2185"
"C03794","WP2185"
"C12248","WP2185"
"C00212","WP2185"
"C04823","WP2185"
"C00020","WP2185"
"C06197","WP2185"
"C04392","WP2185"
"C04376","WP2185"
"C00008","WP2185"
"C00620","WP2185"
"C00362","WP2185"
"C01345","WP2185"
"C11821","WP2185"
"C00076","WP2292"
"C05981","WP2292"
"C01245","WP2292"
"C00575","WP2292"
"C00165","WP2292"
"C15493","WP2316"
"C00004","WP2318"
"C00016","WP2318"
"C00083","WP2318"
"C00024","WP2318"
"C00003","WP2318"
"C00001","WP2318"
"C02571","WP2318"
"C01352","WP2318"
"C00318","WP2318"
"C01243","WP232"
"C00076","WP232"
"C00165","WP232"
"C00575","WP232"
"C01330","WP238"
"C00009","WP238"
"C00533","WP2432"
"C01375","WP2432"
"C00219","WP2432"
"C00427","WP2432"
"C00286","WP251"
"C00035","WP251"
"C07908","WP2573"
"C00575","WP2872"
"C00334","WP2910"
"C00007","WP295"
"C00080","WP295"
"C00002","WP295"
"C00042","WP295"
"C05359","WP295"
"C01352","WP295"
"C00016","WP295"
"C00003","WP295"
"C00001","WP295"
"C00524","WP295"
"C00004","WP295"
"C00399","WP295"
"C00182","WP317"
"C00575","WP317"
"C00103","WP317"
"C00029","WP317"
"C00031","WP317"
"C00668","WP317"
"C04805","WP318"
"C05356","WP318"
"C00427","WP318"
"C05951","WP318"
"C05963","WP318"
"C01312","WP318"
"C00696","WP318"
"C00909","WP318"
"C00639","WP318"
"C02166","WP318"
"C05952","WP318"
"C02198","WP318"
"C00219","WP318"
"C02165","WP318"
"C00083","WP336"
"C00024","WP336"
"C00076","WP339"
"C00361","WP339"
"C05981","WP339"
"C00286","WP339"
"C01598","WP353"
"C00236","WP3586"
"C00022","WP3586"
"C00031","WP3586"
"C00085","WP3586"
"C00074","WP3586"
"C00597","WP3586"
"C00024","WP3586"
"C00111","WP3586"
"C00354","WP3586"
"C00668","WP3586"
"C00661","WP3586"
"C00036","WP3587"
"C00149","WP3587"
"C00311","WP3587"
"C00042","WP3587"
"C00024","WP3587"
"C00158","WP3587"
"C00122","WP3587"
"C00091","WP3587"
"C00040","WP3588"
"C00024","WP3588"
"C00338","WP3592"
"C00007","WP3626"
"C05981","WP3626"
"C00427","WP374"
"C00076","WP374"
"C01312","WP374"
"C00410","WP374"
"C04707","WP374"
"C02198","WP374"
"C00735","WP374"
"C00219","WP374"
"C00639","WP374"
"C00131","WP385"
"C00575","WP385"
"C00008","WP385"
"C00942","WP385"
"C00076","WP3857"
"C00306","WP396"
"C02135","WP396"
"C01780","WP396"
"C00873","WP396"
"C00024","WP401"
"C05275","WP401"
"C01330","WP4183"
"C00238","WP4183"
"C00067","WP426"
"C00086","WP426"
"C00300","WP426"
"C00062","WP426"
"C00315","WP426"
"C00148","WP426"
"C00213","WP426"
"C02305","WP426"
"C00791","WP426"
"C00750","WP426"
"C00011","WP426"
"C00742","WP4265"
"C07516","WP4265"
"C00084","WP4265"
"C00469","WP4265"
"C07515","WP4265"
"C07520","WP4265"
"C07518","WP4265"
"C07931","WP4265"
"C00187","WP431"
"C01164","WP431"
"C00777","WP431"
"C00024","WP431"
"C01724","WP431"
"C00219","WP4335"
"C05956","WP4335"
"C00427","WP4335"
"C00584","WP4335"
"C00639","WP4335"
"C14717","WP4335"
"C04805","WP4335"
"C00036","WP434"
"C00149","WP434"
"C00311","WP434"
"C00042","WP434"
"C00022","WP434"
"C00024","WP434"
"C00158","WP434"
"C00122","WP434"
"C00091","WP434"
"C02934","WP4344"
"C00065","WP4344"
"C00517","WP4344"
"C00346","WP4344"
"C00001","WP4344"
"C00319","WP4344"
"C00836","WP4344"
"C01120","WP4344"
"C12126","WP4344"
"C00195","WP4344"
"C02960","WP4344"
"C01190","WP4344"
"C02686","WP4344"
"C06124","WP4344"
"C00412","WP4344"
"C02041","WP4344"
"C00154","WP4345"
"C00416","WP4345"
"C00093","WP4345"
"C00681","WP4345"
"C00114","WP4345"
"C00570","WP4345"
"C00350","WP4345"
"C00040","WP4345"
"C00641","WP4345"
"C00269","WP4345"
"C03892","WP4345"
"C00344","WP4345"
"C05980","WP4345"
"C01194","WP4345"
"C00157","WP4345"
"C00307","WP4345"
"C02737","WP4345"
"C04230","WP4345"
"C01241","WP4345"
"C04308","WP4345"
"C00346","WP4345"
"C00189","WP4345"
"C00422","WP4345"
"C03974","WP4345"
"C04438","WP4345"
"C00412","WP4345"
"C00219","WP4347"
"C05956","WP4347"
"C00427","WP4347"
"C00584","WP4347"
"C00639","WP4347"
"C00696","WP4347"
"C05957","WP4347"
"C05958","WP4347"
"C14717","WP4347"
"C01312","WP4347"
"C05961","WP4347"
"C05962","WP4347"
"C05953","WP4347"
"C05954","WP4347"
"C02198","WP4347"
"C05963","WP4347"
"C05964","WP4347"
"C05960","WP4347"
"C04742","WP4347"
"C14812","WP4348"
"C00909","WP4348"
"C00219","WP4348"
"C05966","WP4348"
"C14823","WP4348"
"C14776","WP4348"
"C04577","WP4348"
"C06314","WP4348"
"C05965","WP4348"
"C14807","WP4348"
"C14810","WP4348"
"C14808","WP4348"
"C06315","WP4348"
"C02165","WP4348"
"C02166","WP4348"
"C05951","WP4348"
"C05952","WP4348"
"C04853","WP4348"
"C05950","WP4348"
"C04805","WP4348"
"C14732","WP4348"
"C05949","WP4348"
"C00219","WP4349"
"C14748","WP4349"
"C14768","WP4349"
"C14769","WP4349"
"C14771","WP4349"
"C14772","WP4349"
"C14773","WP4349"
"C14774","WP4349"
"C14775","WP4349"
"C00101","WP435"
"C00073","WP435"
"C00664","WP435"
"C03479","WP435"
"C00445","WP435"
"C00415","WP435"
"C00504","WP435"
"C00037","WP435"
"C00021","WP435"
"C00440","WP435"
"C00255","WP435"
"C00155","WP435"
"C00365","WP435"
"C06453","WP435"
"C00065","WP435"
"C00364","WP435"
"C00469","WP435"
"C00019","WP435"
"C05776","WP435"
"C00234","WP435"
"C00719","WP435"
"C00219","WP4350"
"C01595","WP4350"
"C06426","WP4350"
"C03242","WP4350"
"C06427","WP4350"
"C06429","WP4350"
"C16513","WP4350"
"C06428","WP4350"
"C16300","WP4350"
"C16527","WP4350"
"C16533","WP4350"
"C16522","WP4350"
"C02679","WP4351"
"C06424","WP4351"
"C02050","WP4351"
"C01530","WP4351"
"C08362","WP4351"
"C00249","WP4351"
"C06425","WP4351"
"C08281","WP4351"
"C08320","WP4351"
"C00712","WP4351"
"C08316","WP4351"
"C00306","WP449"
"C00080","WP454"
"C00076","WP454"
"C01330","WP454"
"C02934","WP4690"
"C00065","WP4690"
"C00517","WP4690"
"C00346","WP4690"
"C00001","WP4690"
"C00319","WP4690"
"C00836","WP4690"
"C01120","WP4690"
"C06124","WP4690"
"C00412","WP4690"
"C02041","WP4690"
"C16641","WP475"
"C00575","WP493"
"C05484","WP495"
"C05138","WP495"
"C00410","WP495"
"C02140","WP495"
"C05481","WP495"
"C01780","WP495"
"C01124","WP495"
"C00187","WP495"
"C05469","WP495"
"C00735","WP495"
"C05480","WP495"
"C00762","WP495"
"C01953","WP495"
"C00131","WP519"
"C00114","WP522"
"C00788","WP522"
"C01017","WP522"
"C00978","WP522"
"C00334","WP522"
"C00355","WP522"
"C00135","WP522"
"C03758","WP522"
"C01996","WP522"
"C00082","WP522"
"C00780","WP522"
"C00079","WP522"
"C01598","WP522"
"C00217","WP522"
"C00078","WP522"
"C00547","WP522"
"C00388","WP522"
"C04637","WP523"
"C00306","WP523"
"C01996","WP523"
"C00338","WP523"
"C05981","WP523"
"C00024","WP543"
"C00332","WP543"
"C00356","WP543"
"C01089","WP543"
"C05138","WP55"
"C03917","WP55"
"C14210","WP55"
"C00280","WP55"
"C00468","WP55"
"C01953","WP55"
"C00410","WP55"
"C00951","WP55"
"C01176","WP55"
"C00535","WP55"
"C00187","WP55"
"C00131","WP553"
"C00788","WP553"
"C01330","WP553"
"C01996","WP553"
"C00009","WP553"
"C01272","WP553"
"C00008","WP553"
"C00238","WP553"
"C00076","WP553"
"C00575","WP553"
"C00626","WP553"
"C00780","WP570"
"C00788","WP570"
"C00547","WP570"
"C01996","WP570"
"C07473","WP570"
"C00388","WP570"
"C03758","WP570"
"C00009","WP571"
"C00051","WP571"
"C05981","WP578"
"C00085","WP63"
"C00661","WP63"
"C00345","WP63"
"C00279","WP63"
"C00103","WP63"
"C01236","WP63"
"C00469","WP662"
"C00073","WP662"
"C00954","WP662"
"C00417","WP662"
"C00036","WP662"
"C00049","WP662"
"C00123","WP662"
"C00086","WP662"
"C00122","WP662"
"C00311","WP662"
"C00158","WP662"
"C05127","WP662"
"C03758","WP662"
"C02291","WP662"
"C00438","WP662"
"C00135","WP662"
"C00022","WP662"
"C01017","WP662"
"C01089","WP662"
"C00064","WP662"
"C00031","WP662"
"C02305","WP662"
"C00188","WP662"
"C00037","WP662"
"C00407","WP662"
"C00062","WP662"
"C00388","WP662"
"C05606","WP662"
"C00082","WP662"
"C00077","WP662"
"C01157","WP662"
"C00957","WP662"
"C00041","WP662"
"C00152","WP662"
"C00155","WP662"
"C00398","WP662"
"C00169","WP662"
"C00091","WP662"
"C00327","WP662"
"C00097","WP662"
"C01829","WP662"
"C00315","WP662"
"C00065","WP662"
"C00750","WP662"
"C00078","WP662"
"C00109","WP662"
"C00074","WP662"
"C03166","WP662"
"C00186","WP662"
"C05635","WP662"
"C00581","WP662"
"C00042","WP662"
"C00183","WP662"
"C00079","WP662"
"C00134","WP662"
"C00349","WP662"
"C00780","WP662"
"C00337","WP662"
"C00025","WP662"
"C00149","WP662"
"C00148","WP662"
"C00637","WP662"
"C01353","WP662"
"C00006","WP662"
"C03406","WP662"
"C02406","WP662"
"C00630","WP662"
"C02939","WP662"
"C01033","WP662"
"C00024","WP662"
"C00356","WP662"
"C03460","WP662"
"C03345","WP662"
"C05998","WP662"
"C03344","WP662"
"C06000","WP662"
"C03069","WP662"
"C04405","WP662"
"C00100","WP662"
"C03231","WP662"
"C03564","WP662"
"C05130","WP662"
"C00669","WP662"
"C00051","WP662"
"C00127","WP662"
"C00788","WP662"
"C00547","WP662"
"C00024","WP683"
"C00083","WP683"
"C00440","WP730"
"C01419","WP730"
"C00155","WP730"
"C00127","WP730"
"C00151","WP730"
"C00073","WP730"
"C00005","WP730"
"C00021","WP730"
"C00719","WP730"
"C00097","WP730"
"C00006","WP730"
"C00025","WP730"
"C03740","WP730"
"C00037","WP730"
"C00051","WP730"
"C00101","WP730"
"C00669","WP730"
"C00019","WP730"
"C01879","WP730"
"C00144","WP87"
"C01367","WP87"
"C00315","WP87"
"C00366","WP87"
"C00147","WP87"
"C00134","WP87"
"C00385","WP87"
"C00262","WP87"
"C00242","WP87"
"C04677","WP87"
"C00750","WP87"
"C00130","WP87"
"C03794","WP87"
"C00077","WP87"
"C00121","WP87"
"C04823","WP87"
